exprid,N10000M5alpha50_Time,N10000M5alpha50_NC,N10000M5alpha50_MM,N10000M10alpha50_Time,N10000M10alpha50_NC,N10000M10alpha50_MM,N10000M50alpha50_Time,N10000M50alpha50_NC,N10000M50alpha50_MM,N10000M100alpha50_Time,N10000M100alpha50_NC,N10000M100alpha50_MM,N10000M5alpha70_Time,N10000M5alpha70_NC,N10000M5alpha70_MM,N10000M10alpha70_Time,N10000M10alpha70_NC,N10000M10alpha70_MM,N10000M50alpha70_Time,N10000M50alpha70_NC,N10000M50alpha70_MM,N10000M100alpha70_Time,N10000M100alpha70_NC,N10000M100alpha70_MM
48,15.625663135,-122.37162646652908,0.41226812740595586,19.612314106,-120.4501377218052,0.42249283071625776,14.941868307,-114.16941860099729,0.4156112646156219,14.802999203999999,-114.46210206982374,0.3978340629244736,23.333987238000002,-122.92590542981273,0.4133869601812651,23.805181409,-120.69659719387981,0.43502098866065597,36.119186445,-115.28797506283685,0.4301420004708508,23.003634171,-116.38438499084198,0.4029499876461965
49,16.629545425,-122.3665045927074,0.44213619568990903,18.946404092999998,-121.95421031598062,0.43014854191558793,15.845601260999999,-113.48582261999394,0.4067540645633536,14.809524961,-114.84718854308582,0.3941364761973505,24.009812462000003,-124.08497840878378,0.44104404339925984,23.747271718,-119.76224570965746,0.4131575012388926,22.920570055000002,-113.15800925904395,0.4175838829978947,28.640173442000002,-113.21135117857891,0.416656268917974
50,15.777994093,-123.49428818639723,0.4111090226672349,18.985779496,-119.78967796058264,0.4505221592758498,16.968433171,-113.22853007356018,0.4116878224322471,14.80572308,-113.75459007675607,0.3999029705762427,23.631501663999998,-123.16248212858032,0.43693608203867346,24.331894634,-120.31068966564877,0.46785648180184625,20.494295217,-114.79036959966689,0.4212029439779586,23.252625327,-116.25462998869433,0.40645056392311035
51,22.648287940000003,-123.34103959264881,0.4256223250689356,27.862391386000002,-120.14424348598698,0.41737635712944554,21.701719022,-113.945379224038,0.408940190617861,21.332025262000002,-112.677367179472,0.4119796464158648,36.625763929,-122.37256481386028,0.408970208424714,29.133552107,-120.31242240595158,0.42738873441913094,35.606955776999996,-114.12818351389583,0.4089148770728649,32.007265663000005,-113.07174537620494,0.4231526499062526
52,16.381499923,-121.30273798322483,0.42115612591398977,25.810617371,-120.61703866062892,0.4430986643472208,15.466022296,-114.68566300613084,0.4074192307317315,14.694061967,-114.27856882112728,0.37956529482111434,28.828310158,-123.32806097356902,0.44981113572539644,22.930319491,-120.67574349327744,0.4458656724560997,36.041395357,-114.67151511660882,0.4200024321311161,21.632295756,-112.47762428091366,0.4232479641948406
53,16.351272251,-121.74703040213052,0.4449199457053443,22.004566708,-120.8340717137542,0.4411707854832954,15.899217540999999,-116.29254306154994,0.4138061428288,14.688679852,-115.14238728475279,0.3831489916302586,25.016661785,-123.5341248110048,0.4469975224187953,24.363633554,-120.4041900317253,0.42947046474914086,23.376914438,-115.17840991910415,0.4183085618741569,21.795035265,-111.43801090124342,0.415003201036746
54,16.5896215,-121.32822817360298,0.43331398400938725,18.200617915000002,-120.63862419910473,0.4475518197356546,14.725509489,-113.66072458238664,0.44269085908691097,14.807046432,-113.74574723044486,0.4094634520191097,25.54361726,-122.4304922790066,0.4369525354681075,23.540015796,-120.67282941736562,0.44466154365786814,22.039311551,-114.3064134198345,0.4365854742873739,22.114687131,-114.67768391941576,0.40168238476560586
55,16.55275075,-124.50650473479165,0.428879939922285,14.944088338,-119.85242642014897,0.4273512554172705,14.621665841999999,-115.35744442914662,0.38759196376656435,15.322857555,-113.33836014761278,0.4166566187974874,24.143875331,-122.97073594188394,0.46428756319315306,23.962017674,-120.70327122480174,0.4069333711852256,21.380011379,-114.48416686309973,0.41801031961898427,21.830300197,-114.1080154445142,0.42451510141150894
56,38.089232913,-121.73025971715725,0.42349171927238816,22.845852762,-121.68229225400395,0.44725651218746565,29.768044863,-116.4767098856959,0.415028274063735,21.151966017,-114.23075328193897,0.4220031998545255,46.257419326999994,-122.93816349232615,0.43442057545572543,32.779410556,-120.08611719704024,0.44917250744530746,30.700179294,-115.31315930237747,0.4112696575617549,28.213963789,-112.1752577823485,0.39665619535482743
57,27.837698557,-122.31641063873218,0.4535070740230704,16.401962688,-120.16051579759166,0.437045846124851,15.751575329000001,-116.60997915323709,0.43682998173384646,14.834679420999999,-115.28061922490657,0.3899875487077818,37.606420646,-122.86732613712702,0.4481214254408612,25.912675129999997,-120.60303966231375,0.43738144997888784,21.292431261,-113.79451330802637,0.42500814680751814,23.082517805,-112.96376631197283,0.4267499992221925
